tid,text,likes,retweets
988006761524183041,"#Background Remove 
#White background 

#ebay 
#amazon
#GoodFriday 
#alibaba
news for E commerce Store #manager#fre… https://t.co/f8LywMgybD",0,0
988004826318548992,"#Alibaba is still a great investment for long term hold. They are doing the right stuff at the right time. #AI

https://t.co/ln17hDvY2H",0,0
988002471640469504,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988000321833263104,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987997577114079232,"If #CCP gave up its expansionist imperialism, life on this planet would be much sweeter, but SCMP/#alibaba will div… https://t.co/g2yRn6yRwz",1,0
987993665997037568,RT @SavageDarkhorse: Chinese will always support and back another Chinese Company. Especially in today's market climate against another U.S…,0,4
987989952494436352,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987989885893001216,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987986246822744065,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987985276764016640,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987984468626542593,Chinese Alibaba grows large https://t.co/F5jy8CgbRU #TechNews #Alibaba,0,0
987984306432806912,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987982447466827776,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987982358744838144,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987980882895044610,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987979531674779648,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987979382282162176,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
987979320298758144,Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegr… https://t.co/UwvpUI7LMU,52,17
987973382661660673,"RT @gadget_catchy: Companies like #Alphabet, #Google, #Apple, #Alibaba are betting that their own chips can help th… https://t.co/uLxV8hubYH",0,0
987969359279685632,"RT @Janegreys12: #TRON working with #OdysseyOCN, #OdysseyOCN working with #Grab, #Grab working with #Alibaba, #Alibaba working with #TRON.…",0,82
