tid,text,likes,retweets
989538390092779521,"24% off, 4.1 Stars, 154 Reviews: Cool Area Triangle Shade Sail  Steel Hardware Sand. Details: Made of 100% brand ne… https://t.co/wQk8VUDmQM",0,0
989538386628239362,"RT @PageHorrific: Occult Detective fans should know there’s a quarterly magazine jam-packed with stories, articles and art! It’s called Occ…",0,1
989538371461566465,Hooray for The Best Boomerville Hotel by @CarolineJames12 - now has a  #bestseller badge on #Amazon. Download at th… https://t.co/LDPah4HVSN,0,0
989538357293314048,"A Bear, a Wolf, and a vow that must be broken! BEAR SENTRY (The Enforcers, Book 2 &amp; A Southern Shifters Crossover B… https://t.co/0q3122uEHn",0,0
989538339329060864,"RT @juliet_cromwell: A Perception of Sin by Juliet Cromwell  ""Just simply Brilliant"" https://t.co/ptknfySSYK #ebook #Amazon #IARTG https://…",0,17
989538311768301568,RT @KatieMettner: Find all of @Lisalregan books here on #Amazon! https://t.co/IS6alkihGh #Thrillers and #Mysteries to keep you coming back!…,0,2
989538293338591232,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989538288963698690,"RT @SEWMUCHFUN2: Great selection of gifts, collectibles, toys and clothing.
https://t.co/jNTAWm7TrM
https://t.co/Qn4FyPAOp1
https://t.co/Q9…",0,282
989538261797359617,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989538259645628417,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989538218709172224,RT @omghotels: Theatre and Cocktails - Choice of London West End Theatre Shows with Cocktails - Experience For 2 -… https://t.co/Nqdd9ZxMEI,0,0
989538204188663808,#Germany 17%: Hp Envy 17-ae101ng 439 Cm 173 Zoll Full Hd  Ips Notebook .... Details: Prozessor: Intel Core i5-8250U… https://t.co/lJjhFRXtex,0,0
989538203748139009,"RT @Cookingbooks2: Look To The Sky https://t.co/PviiKiaFTy  $3.99 #NonFiction #Deal, #Sponsor, Uplifting True Stories, Young People with th…",0,1
989538197695860736,"#Italy 21%, 4.6 Stars: Tiny Love Into The  Forest Giostrina Musicale for EUR 51. Great Deal for Today! #Thursday… https://t.co/MSNYNRHuON",0,0
989538182269231105,"RT @dubtokens: Could #blockchain flip the systems #Amazon, #Facebook and #Google all have in place? https://t.co/tpb77sjw6F",0,6
989538181358866432,"@Omnarayanrai Hi, for a reduced period only, #Kindle ebook Passive Income is now $0.99 available on #Amazon. Get at… https://t.co/oyvSrWjVRI",0,0
989538145338363904,"24% off, 4.4 Stars: Aviditi Binj101810 Jumbo Corrugated Open Top  Bin Box 1.... Top Review said: ... these for disp… https://t.co/LYhQOoeNsN",0,0
989538125172133889,"RT @INDIEBOOKSOURCE: AUTHOR ORLANDO SANCHEZ
“…Will they find Shadowstrike, stop the Kriyas, and prevent Lucius from escaping? …”
LINK:  htt…",0,15
989538118016667648,"28% off, 4.2 Stars, 251 Reviews: Zmodo Full Hd 1080p Simplified Poe Security  Camera System W .... Top Review said:… https://t.co/Mqlt76o6DH",0,0
989538113910292481,"RT @LTinCloud: Introducing the ability to connect to #CloudShell from any #terminal https://t.co/TQ0Jbg9cFB

#mac #linux #ssh #cloud #googl…",0,1
989538106146742273,"RT @omghotels: Theatre and Cocktails - Choice of London West End Theatre Shows with Cocktails - Experience For 2 - Now only £79

https://t.…",0,34
989538096701104128,"RT @Unbox_Junkie: New Video - These Mini True Wireless  Speakers are Loud!
↪https://t.co/J9NhGxCtFH↩

#amazon #tiamat #truewireless #speake…",0,130
